"","Pos","Player","Team","Fantasy PointsFpts","Salary","Cost/Fantasy Pt"
"144","TE","Larry Donnell","NYG",8.8,"$2,900","$329.55"
"145","RB","Joseph Randle","DAL",8.6,"$5,500","$639.53"
"146","RB","Theo Riddick","DET",8.6,"$3,000","$348.84"
"147","RB","Alfred Morris","DAL",8.5,"$4,100","$482.35"
"148","WR","Nelson Agholor","PHI",8.4,"$4,500","$535.71"
"149","WR","Jason Avant","KC",8.3,"$3,000","$361.45"
"150","WR","Taylor Gabriel","CLE",8.2,"$3,000","$365.85"
"151","QB","Matthew Stafford","DET",8.12,"$5,700","$701.97"
"152","RB","Latavius Murray","OAK",8.1,"$6,300","$777.78"
"153","TE","Ed Dickson","CAR",8.1,"$2,500","$308.64"
"154","DEF","New York Jets","NYJ",8,"$3,100","$387.50"
"155","DEF","Jacksonville Jaguars","JAC",8,"$2,500","$312.50"
"156","RB","C.J. Anderson","DEN",8,"$5,900","$737.50"
"157","TE","Brent Celek","PHI",8,"$2,500","$312.50"
"158","WR","Jordan Matthews","PHI",8,"$6,600","$825.00"
"159","FB","John Kuhn","NO",7.9,"$3,000","$379.75"
"160","WR","Julio Jones","ATL",7.8,"$9,300","$1,192.31"
"161","WR","Brice Butler","DAL",7.7,"$3,000","$389.61"
"162","TE","Jordan Reed","WAS",7.7,"$4,500","$584.42"
"163","RB","Fred Jackson","SEA",7.4,"$3,000","$405.41"
"164","WR","Torrey Smith","SF",7.4,"$4,600","$621.62"
"165","WR","Chris Conley","KC",7.3,"$3,000","$410.96"
"166","WR","Quinton Patton","SF",7.3,"$3,000","$410.96"
"167","WR","Stevie Johnson","SD",7.2,"$4,400","$611.11"
"168","TE","Clay Harbor","NE",7.1,"$2,500","$352.11"
"169","TE","John Phillips","DEN",7.1,"$2,500","$352.11"
"170","DEF","Cincinnati Bengals","CIN",7,"$2,800","$400.00"
"171","DEF","Chicago Bears","CHI",7,"$2,600","$371.43"
"172","TE","Jimmy Graham","SEA",6.9,"$6,000","$869.57"
"173","RB","DeMarco Murray","TEN",6.8,"$6,500","$955.88"
"174","RB","Melvin Gordon III","SD",6.6,"$4,900","$742.42"
"175","WR","Golden Tate","DET",6.5,"$5,300","$815.38"
"176","WR","Brandin Cooks","NO",6.5,"$6,100","$938.46"
"177","WR","Steve Smith, Sr.","BAL",6.4,"$6,200","$968.75"
"178","RB","Ameer Abdullah","DET",6.4,"$4,100","$640.63"
"179","WR","Mike Evans","TB",6.2,"$6,400","$1,032.26"
"180","DEF","San Diego Chargers","SD",6,"$2,800","$466.67"
"181","DEF","Minnesota Vikings","MIN",6,"$2,600","$433.33"
"182","TE","Benjamin Watson","BAL",6,"$2,600","$433.33"
"183","RB","James Starks","GB",5.9,"$3,800","$644.07"
"184","WR","Marques Colston","NO",5.9,"$4,500","$762.71"
"185","RB","Thomas Rawls","SEA",5.7,"$3,000","$526.32"
"186","WR","Percy Harvin","BUF",5.6,"$4,600","$821.43"
"187","WR","Louis Murphy","TB",5.6,"$3,200","$571.43"
"188","TE","Garrett Celek","SF",5.6,"$2,500","$446.43"
"189","RB","Arian Foster","MIA",5.5,"$7,000","$1,272.73"
"190","RB","Andre Williams","NYG",5.5,"$3,100","$563.64"
"191","WR","Ty Montgomery","GB",5.5,"$3,000","$545.45"
"192","RB","Lance Dunbar","DAL",5.4,"$3,600","$666.67"
"193","WR","Robert Woods","BUF",5.3,"$3,100","$584.91"
"194","WR","Rashad Ross","WAS",5.3,"$3,000","$566.04"
"195","TE","Jared Cook","GB",5.2,"$3,000","$576.92"
"196","DEF","Baltimore Ravens","BAL",5,"$2,700","$540.00"
"197","DEF","Indianapolis Colts","IND",5,"$2,800","$560.00"
"198","QB","Ryan Mallett","BAL",5,"$5,000","$1,000.00"
"199","RB","Jonathan Stewart","CAR",5,"$4,700","$940.00"
"200","TE","Greg Olsen","CAR",4.8,"$5,400","$1,125.00"
"201","WR","Andrew Hawkins","CLE",4.7,"$3,000","$638.30"
"202","WR","Bryan Walters","JAC",4.7,"$3,000","$638.30"
"203","RB","Lamar Miller","HOU",4.6,"$4,700","$1,021.74"
"204","WR","Greg Jennings","MIA",4.5,"$3,000","$666.67"
"205","TE","Nick Boyle","BAL",4.2,"$2,500","$595.24"
"206","TE","Eric Ebron","DET",4.2,"$3,500","$833.33"
"207","WR","Anquan Boldin","DET",4.2,"$4,800","$1,142.86"
"208","WR","Lance Moore","DET",4.1,"$3,000","$731.71"
"209","DEF","Tampa Bay Buccaneers","TB",4,"$2,500","$625.00"
"210","DEF","New Orleans Saints","NO",4,"$2,400","$600.00"
"211","DEF","San Francisco 49ers","SF",4,"$2,300","$575.00"
"212","RB","Anthony Dixon","BUF",4,"$3,000","$750.00"
"213","WR","Brandon Coleman","NO",4,"$3,200","$800.00"
"214","TE","Jordan Cameron","MIA",3.9,"$3,400","$871.79"
"215","TE","Derek Carrier","WAS",3.8,"$2,500","$657.89"
"216","RB","Rex Burkhead","CIN",3.7,"$3,000","$810.81"
"217","TE","Maxx Williams","BAL",3.7,"$2,500","$675.68"
"218","FB","Marcel Reece","OAK",3.6,"$3,000","$833.33"
"219","TE","Tim Wright","DET",3.6,"$2,500","$694.44"
"220","TE","Luke Willson","SEA",3.5,"$2,500","$714.29"
"221","RB","Lorenzo Taliaferro","BAL",3.4,"$3,000","$882.35"
"222","WR","Devin Smith","NYJ",3.4,"$3,000","$882.35"
"223","TE","Lee Smith","OAK",3.4,"$2,500","$735.29"
"224","TE","Mychal Rivera","OAK",3.2,"$2,500","$781.25"
"225","RB","Carlos Hyde","SF",3.2,"$5,100","$1,593.75"
"226","WR","Phillip Dorsett","IND",3.1,"$3,300","$1,064.52"
"227","RB","Charcandrick West","KC",3.1,"$3,000","$967.74"
"228","RB","Darren McFadden","DAL",3.1,"$3,600","$1,161.29"
"229","TE","Zach Ertz","PHI",3.1,"$3,200","$1,032.26"
"230","WR","Chris Matthews","BAL",3.1,"$3,000","$967.74"
"231","DEF","Buffalo Bills","BUF",3,"$3,000","$1,000.00"
"232","DEF","Dallas Cowboys","DAL",3,"$2,800","$933.33"
"233","DEF","Philadelphia Eagles","PHI",3,"$2,700","$900.00"
"234","WR","Malcom Floyd","SD",3,"$3,700","$1,233.33"
"235","WR","Jaron Brown","ARI",3,"$3,000","$1,000.00"
"236","WR","Marlon Brown","DEN",2.9,"$3,000","$1,034.48"
"237","WR","Markus Wheaton","PIT",2.8,"$3,500","$1,250.00"
"238","WR","Roddy White","ATL",2.8,"$4,000","$1,428.57"
"239","TE","Darren Waller","BAL",2.7,"$3,000","$1,111.11"
"240","TE","Kyle Rudolph","MIN",2.7,"$3,200","$1,185.19"
"241","TE","Darren Fells","ARI",2.7,"$2,500","$925.93"
"242","WR","Rishard Matthews","TEN",2.6,"$4,400","$1,692.31"
"243","WR","Griff Whalen","MIA",2.6,"$3,000","$1,153.85"
"244","TE","Chris Gragg","BUF",2.5,"$2,500","$1,000.00"
"245","RB","Cameron Artis-Payne","CAR",2.5,"$3,000","$1,200.00"
"246","RB","Benny Cunningham","LA",2.4,"$3,400","$1,416.67"
"247","RB","Zach Zenner","DET",2.3,"$3,000","$1,304.35"
"248","RB","Bilal Powell","NYJ",2.2,"$3,700","$1,681.82"
"249","QB","B.J. Daniels","CHI",2.2,"$3,000","$1,363.64"
"250","WR","Sammie Coates","PIT",2.1,"$3,000","$1,428.57"
"251","WR","Bennie Fowler","DEN",2.1,"$3,000","$1,428.57"
"252","RB","Shane Vereen","NYG",2.1,"$4,300","$2,047.62"
"253","DEF","Miami Dolphins","MIA",2,"$2,700","$1,350.00"
"254","WR","Marvin Jones","DET",2,"$3,800","$1,900.00"
"255","RB","Fozzy Whittaker","CAR",2,"$3,000","$1,500.00"
"256","RB","Javorius Allen","BAL",1.9,"$3,000","$1,578.95"
"257","WR","Cordarrelle Patterson","MIN",1.9,"$3,000","$1,578.95"
"258","TE","James O'Shaughnessy","KC",1.8,"$2,500","$1,388.89"
"259","TE","Brandon Myers","TB",1.8,"$2,500","$1,388.89"
"260","WR","Nick Williams","ATL",1.8,"$3,000","$1,666.67"
"261","TE","Jermaine Gresham","ARI",1.8,"$2,500","$1,388.89"
"262","RB","De'Anthony Thomas","KC",1.7,"$3,000","$1,764.71"
"263","WR","Brian Hartline","CLE",1.7,"$3,200","$1,882.35"
"264","RB","Alfred Blue","HOU",1.7,"$3,900","$2,294.12"
"265","TE","James Hanna","DAL",1.7,"$2,500","$1,470.59"
"266","RB","Darren Sproles","PHI",1.7,"$4,500","$2,647.06"
"267","TE","Cameron Brate","TB",1.7,"$2,500","$1,470.59"
"268","TE","Vance McDonald","SF",1.7,"$2,500","$1,470.59"
"269","TE","Garrett Graham","DEN",1.6,"$2,500","$1,562.50"
"270","RB","Reggie Bush","BUF",1.6,"$3,800","$2,375.00"
"271","RB","Shaun Draughn","SF",1.5,"$3,000","$2,000.00"
"272","FB","Tyler Clutts","DAL",1.4,"$3,000","$2,142.86"
"273","TE","Cory Harkey","LA",1.4,"$2,500","$1,785.71"
"274","FB","Kyle Juszczyk","BAL",1.3,"$3,000","$2,307.69"
"275","FB","Michael Burton","DET",1.3,"$3,000","$2,307.69"
"276","WR","Corey Brown","CAR",1.3,"$3,200","$2,461.54"
